report_id,employee_id,designation,manager,resolution_minutes,resolution_sla_pass,resolution_category
AXA-20201231-1107-HSE,202,Operator,Victor,225.27,failed,Critical
AXA-20201231-1108-HSE,204,Operator,Victor,333.75,failed,Critical
AXA-20201231-1109-HSE,207,Operator,Victor,255.35,failed,Critical
AXA-20201230-1111-HSE,204,Operator,Victor,242.77,failed,Critical
AXA-20201230-1112-HSE,207,Operator,Victor,263.6,failed,Critical
AXA-20201230-1113-HSE,224,Operator,Seun,280.6,failed,Critical
AXA-20201229-1114-HSE,223,Operator,Seun,212.17,failed,Critical
AXA-20201231-1116-HSE,203,Operator,Victor,208.37,failed,Critical
AXA-20201231-1117-HSE,202,Operator,Victor,312.22,failed,Critical
AXA-20201229-1119-HSE,207,Operator,Victor,331.45,failed,Critical
AXA-20201231-1124-WLESS,201,Operator,Victor,285.32,failed,Critical
AXA-20201231-1131-WLESS,211,Operator,Kerry,323.65,failed,Critical
AXA-20201231-1133-WLESS,219,Operator,Wale,185.67,failed,Critical
AXA-20201230-1134-WLESS,211,Operator,Kerry,205.65,failed,Critical
AXA-20201229-1135-WLESS,228,Operator,Seun,245.38,failed,Critical
AXA-20201230-1136-WLESS,211,Operator,Kerry,209.53,failed,Critical
AXA-20201230-1137-WLESS,208,Operator,Kerry,263.48,failed,Critical
AXA-20201230-1143-WLESS,209,Operator,Kerry,279.57,failed,Critical
AXA-20201230-1144-WLESS,206,Operator,Victor,268.07,failed,Critical
AXA-20201229-1145-WLESS,212,Operator,Kerry,261.22,failed,Critical
AXA-20201231-1148-WLESS,218,Operator,Wale,303.63,failed,Critical
AXA-20201230-1149-WLESS,206,Operator,Victor,283.68,failed,Critical
AXA-20201230-1153-HSE,205,Operator,Victor,188.27,failed,Critical
AXA-20201230-1154-HSE,202,Operator,Victor,252.62,failed,Critical
AXA-20201230-1155-HSE,222,Operator,Seun,250.65,failed,Critical
AXA-20201231-1156-HSE,214,Operator,Kerry,220.47,failed,Critical
AXA-20201229-1160-HSE,203,Operator,Victor,266.68,failed,Critical
AXA-20201231-1168-VOICE,212,Operator,Kerry,325.73,failed,Critical
AXA-20201230-1170-VOICE,201,Operator,Victor,324.77,failed,Critical
AXA-20201229-1173-VOICE,209,Operator,Kerry,193.35,failed,Critical
AXA-20201231-1174-VOICE,220,Operator,Wale,311.25,failed,Critical
AXA-20201231-1176-VOICE,203,Operator,Victor,343.37,failed,Critical
AXA-20201231-1180-HSE,220,Operator,Wale,266.37,failed,Critical
AXA-20201229-1183-HSE,203,Operator,Victor,221.68,failed,Critical
AXA-20201230-1188-HSE,209,Operator,Kerry,192.28,failed,Critical
AXA-20201229-1189-HSE,228,Operator,Seun,323.75,failed,Critical
AXA-20201229-1190-HSE,228,Operator,Seun,201.38,failed,Critical
AXA-20201231-1192-HSE,216,Operator,Wale,255.4,failed,Critical
AXA-20201230-1194-HSE,208,Operator,Kerry,272.72,failed,Critical
AXA-20201230-1196-WLESS,209,Operator,Kerry,194.43,failed,Critical
AXA-20201231-1198-HSE,203,Operator,Victor,211.2,failed,Critical
AXA-20201231-1202-HSE,201,Operator,Victor,306.32,failed,Critical
AXA-20201230-1204-HSE,212,Operator,Kerry,250.05,failed,Critical
AXA-20201229-1208-HSE,206,Operator,Victor,259.42,failed,Critical
AXA-20201230-1216-HSE,205,Operator,Victor,311.57,failed,Critical
AXA-20201229-1217-HSE,203,Operator,Victor,181.13,failed,Critical
AXA-20201229-1220-HSE,226,Operator,Seun,210.08,failed,Critical
AXA-20201230-1226-HSE,205,Operator,Victor,330.15,failed,Critical
AXA-20201229-1227-HSE,206,Operator,Victor,329.67,failed,Critical
AXA-20201230-1230-HSE,211,Operator,Kerry,308.75,failed,Critical
AXA-20201229-1231-HSE,201,Operator,Victor,342.57,failed,Critical
AXA-20201229-1234-HSE,205,Operator,Victor,337.57,failed,Critical
AXA-20201231-1236-HSE,213,Operator,Kerry,345.4,failed,Critical
AXA-20201231-1237-HSE,209,Operator,Kerry,343.37,failed,Critical
AXA-20201230-1239-HSE,204,Operator,Victor,191.3,failed,Critical
AXA-20201229-1240-HSE,205,Operator,Victor,279.08,failed,Critical
AXA-20201230-1245-CBS,211,Operator,Kerry,333.05,failed,Critical
AXA-20201230-1247-WLESS,211,Operator,Kerry,340.1,failed,Critical
AXA-20201230-1250-WLESS,205,Operator,Victor,201.33,failed,Critical
AXA-20201231-1252-HSE,207,Operator,Victor,274.3,failed,Critical
AXA-20201229-1255-HSE,226,Operator,Seun,197.42,failed,Critical
AXA-20201231-1256-HSE,220,Operator,Wale,302.13,failed,Critical
AXA-20201230-1258-HSE,213,Operator,Kerry,339.05,failed,Critical
